home,score,away,date,location,home_gols,away_gols
Soviet Union ,2–2, England,8 June 1958,"Ullevi, Gothenburg","[""Simonyan  13'A. Ivanov  56'""]","[""Kevan  66'Finney  85'(pen.)""]"
Brazil ,0–0, England,11 June 1958,"Ullevi, Gothenburg",[],[]
Soviet Union ,2–0, Austria,11 June 1958,"Ryavallen, Borås","[""Ilyin  15'V. Ivanov  62'""]",[]
England ,2–2, Austria,15 June 1958,"Ryavallen, Borås","[""Haynes  56'Kevan  74'""]","[""Koller  15'Körner  71'""]"
Brazil ,2–0, Soviet Union,15 June 1958,"Ullevi, Gothenburg","[""Vavá  3', 77'""]",[]
Soviet Union ,1–0, England,17 June 1958,"Ullevi, Gothenburg","[""Ilyin  69'""]",[]
Brazil ,1–0, Wales,19 June 1958,"Ullevi, Gothenburg","[""Pelé  66'""]",[]
France ,4–0, Northern Ireland,19 June 1958,"Idrottsparken, Norrköping","[""Wisnieski  44'Fontaine  55', 63'Piantoni  68'""]",[]
Sweden ,2–0, Soviet Union,19 June 1958,"Råsunda Stadium, Solna","[""Hamrin  49'Simonsson  88'""]",[]
West Germany ,1–0, Yugoslavia,19 June 1958,"Malmö Stadion, Malmö","[""Rahn  12'""]",[]
Brazil ,5–2, France,24 June 1958,"Råsunda Stadium, Solna","[""Vavá  2'Didi  39'Pelé  52', 64', 75'""]","[""Fontaine  9'Piantoni  83'""]"
Sweden ,3–1, West Germany,24 June 1958,"Ullevi, Gothenburg","[""Skoglund  32'Gren  81'Hamrin  88'""]","[""Schäfer  24'""]"
France ,6–3, West Germany,28 June 1958,"Ullevi, Gothenburg","[""Fontaine  16', 36', 78', 89'Kopa  27'(pen.)Douis  50'""]","[""Cieslarczyk  18'Rahn  52'Schäfer  84'""]"
Brazil ,5–2, Sweden,29 June 1958,"Råsunda Stadium, Solna","[""Vavá  9', 32'Pelé  55', 90'Zagallo  68'""]","[""Liedholm  4'Simonsson  80'""]"
Uruguay ,2–1, Colombia,30 May 1962,"Estadio Carlos Dittborn, Arica","[""Cubilla  56'Sasía  75'""]","[""Zuluaga  19'(pen.)""]"
Soviet Union ,2–0, Yugoslavia,31 May 1962,"Estadio Carlos Dittborn, Arica","[""Ivanov  51'Ponedelnik  83'""]",[]
Yugoslavia ,3–1, Uruguay,2 June 1962,"Estadio Carlos Dittborn, Arica","[""Skoblar  25'(pen.)Galić  29'Jerković  49'""]","[""Cabrera  19'""]"
Soviet Union ,4–4, Colombia,3 June 1962,"Estadio Carlos Dittborn, Arica","[""Ivanov  8', 11'Chislenko  10'Ponedelnik  56'""]","[""Aceros  21'Coll  68'Rada  72'Klinger  86'""]"
Soviet Union ,2–1, Uruguay,6 June 1962,"Estadio Carlos Dittborn, Arica","[""Mamykin  38'Ivanov  89'""]","[""Sasía  54'""]"
Yugoslavia ,5–0, Colombia,7 June 1962,"Estadio Carlos Dittborn, Arica","[""Galić  20', 61'Jerković  25', 87'Melić  82'""]",[]
Chile ,3–1, Switzerland,30 May 1962,"Estadio Nacional, Santiago","[""L. Sánchez  44', 55'Ramírez  51'""]","[""Wüthrich  6'""]"
West Germany ,0–0, Italy,31 May 1962,"Estadio Nacional, Santiago",[],[]
